situation elements:2
	8|Gen|2889
	31|Date|2017-12-19 11:24:43.467000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:768.44005930
			high24hr:797.00000000
			highestbid:765.36629950
			percentchange:0.08533665
			low24hr:670.00000000
			lowestask:768.44005927
			candle300|288
				1513643100|770.08379327|768.44005990|770.08379322|768.44006000|769.74737113|790.98078309
				1513642800|779.00000000|765.00000000|768.44005931|778.99999999|772.78086343|298345.55724022
				1513642500|779.00000000|776.00412441|778.99999999|778.99999967|778.17198241|126034.36385009
				1513642200|782.99999903|776.01000002|778.99999967|782.99999903|779.50543926|93578.09836040
				1513641900|785.00000016|781.10000000|782.99999909|785.00000016|782.56157279|35656.67432562
				1513641600|786.00000000|780.00000000|783.00000007|786.00000000|783.86755790|52313.25497053
				1513641300|787.45598497|785.00000000|785.00000000|787.45598497|786.21281859|32734.96070932
				1513641000|795.39000000|787.45598512|787.45598512|791.41305008|791.45855756|111109.81371861
				1513640700|795.39000000|785.00000141|791.41305004|785.00000141|791.85740657|153631.97908754
				1513640400|789.24740054|782.00000043|785.00000118|783.48140910|787.01908893|63563.28664792
				1513640100|785.99999956|781.50000070|785.00000000|785.99999956|784.24761270|77514.09452650
				1513639800|788.11549969|781.10000009|785.99999974|788.11549969|784.34647431|145253.25309764
				1513639500|793.79430189|783.41982001|788.11549969|783.41982001|788.52662590|131724.71535604
				1513639200|783.99300001|775.54735391|783.41981998|776.50000039|778.62255647|183265.52888752
				1513638900|778.66200288|776.50000012|776.99999980|776.50000012|777.30639181|64921.33219518
				1513638600|782.45887962|775.00000004|776.50000006|781.66860417|776.89115619|275905.44101640
				1513638300|784.00000000|780.00001001|780.00001018|781.00000000|781.72647416|388125.36265006
				1513638000|783.00000000|778.00000000|780.00001015|781.59375004|779.97122398|399987.24198564
				1513637700|794.60000031|781.59375001|782.99999994|794.60000031|788.01604777|154607.42258591
				1513637400|796.00000000|791.50000000|793.00000106|791.50000000|793.61971278|136555.52570822
				1513637100|797.00000000|790.00000007|791.00000003|795.00000000|796.00746019|162349.68830636
				1513636800|796.99000000|792.50000033|796.99000000|794.14179875|795.42679018|261394.80420319
				1513636500|794.14180000|791.00000014|794.14179875|793.00000001|792.52171324|75850.10880080
				1513636200|794.14180000|787.32817159|794.14180000|791.00000000|790.52238700|136487.52866302
				1513635900|792.50000000|787.32817151|791.00000000|790.96000010|789.54477933|248762.69198170
				1513635600|790.95999973|788.70000130|790.80000000|788.70000139|789.54309668|66884.79496715
				1513635300|789.99999997|782.43998422|788.70000136|787.00000030|787.48897714|102396.08837891
				1513635000|789.70915785|782.45886292|787.80000075|784.70617175|786.14990844|111280.30076911
				1513634700|792.99999994|783.03233336|783.54936005|791.02000044|789.68617517|167131.93953130
				1513634400|794.14179993|790.00000007|790.06000015|792.66600000|792.57504089|187173.47616386
				1513634100|792.66600000|786.94313038|792.00000003|788.30000000|789.63316828|205960.57656837
				1513633800|788.30000000|784.00000000|787.16927524|784.00000000|786.90580279|156440.77298125
				1513633500|784.18154753|779.00000065|783.00000004|779.00000065|781.43838241|88857.37742939
				1513633200|783.41981979|779.00000000|781.99999979|781.56010026|782.05104391|100051.76255450
				1513632900|782.56200000|779.95309900|781.00000000|781.00000005|780.30911676|103036.82160802
				1513632600|782.30000000|777.99900005|781.00000000|780.10000000|781.08067829|31843.34029801
				1513632300|780.30000006|775.00000001|780.10000000|775.07000000|778.50244154|118447.82207655
				1513632000|775.10000000|771.23799007|775.10000000|772.01000004|774.04233381|115589.82448637
				1513631700|774.07960439|771.01000004|772.01000004|771.28574566|772.17390610|96735.69661874
				1513631400|774.00000000|767.12300061|774.00000000|768.78025089|770.10822306|93732.98981992
				1513631100|769.22812723|766.35000000|768.78025089|766.35000025|767.93110492|144547.96770154
				1513630800|769.57999998|765.10000020|766.35000026|765.20000000|768.47453450|221334.98404776
				1513630500|770.00000000|764.00000001|765.10000020|767.99999994|768.19995089|529641.12093081
				1513630200|774.07960382|767.34899999|767.99999994|774.07960382|769.31078461|346871.95651297
				1513629900|775.09999999|770.22079134|772.22079109|772.10000003|772.32971033|129638.14386558
				1513629600|773.84999996|772.00000003|772.10000003|773.84999996|772.63577501|159190.87895612
				1513629300|773.84999999|762.65712336|773.00000000|767.99999997|766.72991287|375635.72937911
				1513629000|780.00000000|766.00000000|767.99999997|778.00000009|774.59510864|589312.98763526
				1513628700|785.39999900|777.18057066|781.18649990|784.20000006|782.15236969|339123.58891523
				1513628400|785.99999995|781.52275022|785.39999899|783.20000004|783.68462889|320462.57698197
				1513628100|786.00000000|780.00000000|785.99999987|780.50000195|783.76048443|418025.92562356
				1513627800|780.50000195|775.43907160|780.50000195|780.00000000|779.20928198|382311.78521512
				1513627500|780.50000194|767.40000012|780.50000193|768.00000000|778.27302716|583715.90245326
				1513627200|770.00000000|766.14900493|768.00000000|767.50000141|769.10631037|182300.30325862
				1513626900|769.45133812|765.00000014|769.45133753|765.00000014|766.56507627|39323.51041073
				1513626600|766.59999986|763.16500108|765.00000012|763.16500108|765.75826950|78383.07987903
				1513626300|766.60627102|763.16500082|763.16500108|766.60627080|764.94050435|61513.16215138
				1513626000|769.45133937|763.99000000|766.60627080|763.99000000|767.25033971|215594.60890701
				1513625700|764.97000000|762.50000118|763.99000000|764.00000000|763.36051367|50062.43238272
				1513625400|766.99999966|761.30000021|764.96999964|764.98500000|762.79091583|141343.96280725
				1513625100|767.49999944|761.29435824|763.00000038|764.92350130|762.73937920|187796.88404060
				1513624800|768.00000000|763.00000002|763.00000003|765.84565936|766.18707913|161225.94880170
				1513624500|770.00000000|762.84565902|766.01000037|769.36308283|767.02656366|233036.64244906
				1513624200|769.95000007|761.43444548|769.95000007|761.51035612|767.23332024|278496.80729726
				1513623900|761.51035612|755.00000000|761.00000052|755.00000000|759.01571848|229227.29227884
