situation elements:2
	8|Gen|5311
	31|Date|2018-02-05 10:17:44.798000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:844.00000000
			high24hr:973.04241710
			highestbid:844.00000000
			percentchange:-0.11652032
			low24hr:781.00000000
			lowestask:844.44592839
			candle300|288
				1517786100|844.44592838|839.43321345|839.43321345|844.44592829|841.22806798|4402.31396825
				1517785800|846.20558081|841.22857019|844.54592905|843.81558089|843.06051731|30171.80254717
				1517785500|845.70445621|840.32301487|841.79558096|842.42257579|842.29559418|22132.21505395
				1517785200|852.79808165|842.03340982|842.03340982|849.99999999|850.38892831|29956.55646122
				1517784900|850.00000000|840.95999993|850.00000000|840.95999993|845.43819527|14156.09244493
				1517784600|840.95999998|836.50801684|840.95999995|837.52869798|837.25720526|21039.82952901
				1517784300|845.19899971|837.52869804|837.52869804|845.19899971|841.27006297|21538.45485971
				1517784000|845.59999991|840.34312738|842.57321435|843.73312728|843.40159494|19565.51720907
				1517783700|851.55483038|844.34000000|844.34000000|848.25808172|849.52661454|19368.39225152
				1517783400|853.95728271|835.00000045|849.05600007|836.90236180|847.28335908|77382.43118513
				1517783100|836.90236185|832.54505984|836.90236180|832.54505984|835.28102923|39146.39458147
				1517782800|832.68023475|826.12598123|832.54505985|829.77999992|831.65629936|28025.03707000
				1517782500|830.48000001|820.20482128|826.12598101|820.20482129|827.69394512|82460.23876489
				1517782200|821.85482106|815.86482148|818.03800012|816.13482110|816.35650957|171062.80528290
				1517781900|816.15482108|812.16482108|816.13482102|812.16482108|814.93705668|14121.47740134
				1517781600|814.24482070|808.12296772|811.00000000|814.24482070|809.42834351|6066.46554630
				1517781300|816.27314462|811.33482166|814.24482098|814.39999997|813.50906578|22618.91770281
				1517781000|825.00123128|808.11042127|814.39999997|821.89456924|813.55517190|55362.40203145
				1517780700|825.00123158|822.61471251|825.00123147|823.65170522|823.63677333|29569.84574437
				1517780400|826.24836421|823.65170522|823.65170522|826.24836421|824.72571123|16609.06931045
				1517780100|829.85002184|825.25836427|826.24836421|827.08591765|827.23678092|40072.99659738
				1517779800|832.51591764|824.00000000|825.00123201|831.00000000|826.63624941|45847.00606961
				1517779500|831.40563235|826.90104417|831.40563235|827.82890204|830.13925576|20356.05771257
				1517779200|834.48000000|827.82890189|831.16571399|831.40563246|830.44812714|218066.39296432
				1517778900|835.40530362|828.99999995|831.40563246|828.99999995|832.02931066|34486.48582173
				1517778600|830.78310227|819.04889939|829.10530341|819.04889939|823.20936589|76321.44223190
				1517778300|819.04889974|811.99999994|819.04889974|818.00000000|814.02598027|22112.77273491
				1517778000|829.99999996|810.85841902|817.99000001|829.99999994|821.21854170|112717.57107563
				1517777700|836.90236177|814.66009347|829.99999997|814.66009347|825.58834814|178964.51257431
				1517777400|816.25694201|810.00000000|811.86429346|814.84355251|812.88127749|72235.89930410
				1517777100|820.00000000|812.30000000|812.30000000|819.99999995|816.32737573|123013.65143485
				1517776800|825.28484203|797.50000001|820.00000000|798.53000000|814.41869370|191873.11667782
				1517776500|805.67663695|781.00000000|800.00000000|784.49999999|789.70609699|459913.22473154
				1517776200|820.15999934|784.49999999|784.49999999|820.15999934|794.53232187|414435.76206638
				1517775900|824.21577139|804.00000064|820.15999991|807.75599939|812.75971516|104667.17383308
				1517775600|807.75599966|803.66000003|804.00000032|807.47317708|806.07290296|76973.06353882
				1517775300|811.99999986|801.91823110|807.47317708|811.99999986|805.15190832|166707.65467122
				1517775000|820.02628879|806.00000000|806.00000000|808.48313998|811.82750089|168752.79835237
				1517774700|826.99999998|807.02300003|809.52654334|818.00999999|815.24429230|295151.77329572
				1517774400|843.30734722|818.00000000|818.00000000|838.60560496|829.11943699|346613.17308377
				1517774100|846.00627206|839.41267537|842.00000000|846.00627206|842.05467027|72027.59601176
				1517773800|849.50627202|845.34281211|845.34281211|848.80627210|846.55546572|47821.76662402
				1517773500|851.84736641|849.30080983|851.21499996|850.13855401|849.91401168|8091.29202451
				1517773200|852.82736635|847.03058579|850.13855401|847.03058579|849.48581031|52563.63821655
				1517772900|851.95699986|847.15100591|847.77100585|850.00000000|849.42876978|57641.25285727
				1517772600|856.47100590|840.72725671|850.32100614|840.72725671|849.72572128|118337.34457473
				1517772300|845.14013045|838.30500002|840.79725673|845.14000000|839.45046888|119417.17537390
				1517772000|850.00707568|843.58066795|845.14013047|850.00707568|846.13827660|60828.89316035
				1517771700|854.11351953|848.37300000|851.22764957|851.53220672|850.52446654|54196.92362869
				1517771400|856.71487462|850.00000000|851.54220738|856.71487461|853.57175805|81296.53269016
				1517771100|856.71487469|851.00000000|853.99999978|851.08510101|854.31245298|82789.09176589
				1517770800|860.00000000|851.00000002|851.08510101|860.00000000|853.68519093|17283.58015445
				1517770500|864.16709778|859.07169627|860.13709774|860.49709796|860.69947259|22974.28864165
				1517770200|864.92018219|859.33012732|860.70999984|859.83012846|860.62310175|25739.74801812
				1517769900|865.65725638|856.99725633|861.59012855|865.61725634|861.65356777|33810.46425774
				1517769600|868.17494731|857.19725656|861.47725634|863.49304062|861.83167848|21362.18797043
				1517769300|865.01000000|853.21081188|862.76304049|859.55482594|859.08395008|39735.20213418
				1517769000|869.10876689|858.00000000|859.55482599|865.64999999|863.49935610|42694.15356695
				1517768700|876.87162497|867.35876694|869.99999994|870.00000000|872.03693518|50400.15217717
				1517768400|880.21610564|869.92283540|870.00000000|875.67310696|873.69145008|16196.86466120
				1517768100|880.21610565|875.67310677|875.67310708|878.65610570|878.72454304|49170.36523515
				1517767800|881.78999995|878.30415768|881.10000000|881.78999971|880.69849773|11558.12591645
				1517767500|883.25000000|878.15469604|881.78999980|878.15469608|880.55504710|29154.87670629
				1517767200|878.15469614|872.12481840|878.15469604|872.18157904|875.98233119|31751.14893411
				1517766900|875.98481825|871.48447413|871.48447419|873.36481835|872.95810801|7371.46916202
				1517766600|877.91921035|870.09765004|873.00000000|877.91921035|872.85903892|20131.59296846
				1517766300|883.15159459|875.86356471|877.91921034|875.86356471|880.26514386|20638.84983480
				1517766000|875.08356473|870.09765000|875.08356473|870.09765000|872.27464551|947.58764089
				1517765700|877.62229563|875.00000000|875.00000000|875.38220851|875.36835455|60011.61956114
				1517765400|875.38220857|865.03383536|875.38220854|874.82524048|872.43121862|54287.03088637
				1517765100|877.97220848|874.82524060|874.82524072|874.90220855|875.97109850|18284.76702013
				1517764800|881.48938097|875.60791877|876.49220860|881.02220813|877.81342239|20108.07668409
				1517764500|881.48938105|876.37563290|877.07220860|878.43791892|880.45703265|46076.78590135
				1517764200|882.99999985|876.37563289|878.36791891|880.71879680|879.62356596|17902.11550977
				1517763900|887.82063327|877.45063329|880.00000001|884.47034395|881.67960046|52731.24270682
				1517763600|882.58249955|869.91024022|882.58249954|872.00000011|876.58275342|58518.21292220
				1517763300|875.58235555|863.24011437|875.58235555|865.58235562|866.89098197|90152.49535323
				1517763000|870.43799271|865.58235586|865.58235615|867.99999993|866.93908044|65052.72503447
				1517762700|871.41011440|865.58235562|867.41011431|871.41011440|867.60464620|31885.80527147
				1517762400|873.72190942|870.51011452|871.41011426|872.19011458|871.50131984|25443.30760399
				1517762100|875.16999996|865.00858372|872.60029998|875.16999993|869.83702769|39259.44815619
				1517761800|876.82329002|863.06660620|875.16999993|863.06660620|872.81549554|79288.43127234
				1517761500|867.30999999|845.54906108|863.06660607|847.28050107|850.33481188|125055.35231044
				1517761200|858.78632676|846.81460574|847.86050106|856.00000000|851.02231563|205560.81923322
				1517760900|858.78872692|853.32872698|857.00000000|858.25599081|854.08208046|41304.22751953
				1517760600|864.39181750|853.10111000|859.64047551|854.00000000|860.19907631|112008.91308063
				1517760300|866.00000000|854.69801651|854.69801651|864.00000001|861.30548298|64122.79258789
				1517760000|867.54906106|854.97744851|864.00000000|854.99999998|865.17098559|61128.03600549
				1517759700|861.25390821|854.00000012|854.97744840|859.89916781|855.62564763|22879.23604411
				1517759400|865.00000000|856.16865588|859.89916778|858.00000000|861.63968249|63862.67485229
				1517759100|862.45401817|851.14065828|858.00000000|851.14065828|856.71440886|108473.75922678
				1517758800|858.99999998|851.14065828|851.14065828|858.99999998|853.46999988|135106.53602296
				1517758500|867.44184794|858.00000000|858.99999999|866.17151585|861.71746286|149354.02792363
				1517758200|870.09151606|863.55151608|866.17151592|870.09151600|865.61616723|33875.57779270
				1517757900|870.10151589|859.00000001|870.09151606|869.00000000|862.50893635|49001.66681160
				1517757600|876.04824956|868.68824960|868.68824961|876.00000000|869.82788464|79627.84085460
				1517757300|880.00000000|876.00000000|876.00000000|878.56521013|879.41558713|10919.78072526
				1517757000|887.03595761|876.36000001|876.36000001|887.03595761|879.63039465|26201.92516489
				1517756700|887.91434315|882.16595766|887.04595760|883.88420455|885.27007714|20448.08701861
				1517756400|886.63595761|878.93582763|885.77595762|881.15989855|881.24782470|46154.15862219
				1517756100|883.95989901|878.78989902|879.00187106|883.95989901|879.92474766|67360.10801530
				1517755800|889.92132645|883.79647997|883.79647997|889.92132645|886.97925634|61366.46578624
				1517755500|894.95988400|889.67810338|893.06989898|891.08983902|891.62570912|41452.16778375
				1517755200|897.96195924|889.96988402|891.08983903|897.96195924|892.01161091|24373.74454667
				1517754900|899.25820327|892.85195970|898.31195968|898.67820335|897.23795264|4047.95497033
				1517754600|900.00000001|892.38343930|896.00000036|894.19999991|897.86691192|153225.61918837
				1517754300|896.39999999|892.81439998|894.19999991|894.80999999|894.43647850|9107.20513000
				1517754000|896.39999999|894.81196492|894.81196510|894.81196492|896.03461785|20708.34758329
				1517753700|900.01000000|894.00000014|896.40000000|896.09990014|898.17241787|80180.10054662
				1517753400|896.41417384|890.85999999|896.09990016|890.86349359|896.00624857|32493.01360422
				1517753100|896.42904986|890.00000000|890.95413785|892.38625629|892.43124711|43493.84937464
				1517752800|892.38625640|880.41417391|892.38625618|880.41417392|889.83916086|57938.37283568
				1517752500|884.49999991|880.41417395|884.49999953|884.49999989|882.26539826|16041.78485157
				1517752200|884.70705292|879.41417390|884.49999984|880.50558000|883.51489330|107066.77500328
				1517751900|880.50558003|876.00000000|880.50558000|876.59499984|878.28945871|39777.60179391
				1517751600|881.00000000|875.94757720|880.99999986|875.94757720|879.41322140|67875.36756024
				1517751300|881.81474331|873.11177713|875.94757720|881.81474331|878.89749010|40777.26373882
				1517751000|885.64224553|880.79334577|881.80000001|882.64848445|883.66734493|16985.58465414
				1517750700|890.92654276|883.12281898|884.32097902|889.56827703|887.27610023|33511.43595828
				1517750400|889.56827715|879.50000000|889.56827703|879.50000000|883.35720070|47975.61405629
				1517750100|879.61556872|871.03341208|879.50000000|878.06940990|873.93147842|80113.52208312
				1517749800|885.32607440|879.12453853|879.94757720|880.32607445|880.50500315|44157.99567308
				1517749500|889.99999990|880.05044302|880.05044302|886.65859675|884.72551236|36846.69681428
				1517749200|895.00000000|881.67690100|882.23859686|892.44182556|889.69011065|145075.31812815
				1517748900|893.92815068|879.34134627|893.92815067|879.34134627|886.88201477|84934.71969926
				1517748600|880.99999992|876.00000000|879.34134627|877.10000001|878.02558203|48210.20739053
				1517748300|884.21612130|874.97603246|877.10000001|874.97603246|878.61366982|133689.60186105
				1517748000|874.97603274|865.42535936|874.97603261|868.08520928|868.20537579|21713.78862255
				1517747700|870.01520935|858.10763186|868.08520931|858.15527394|868.09983136|176482.59692838
				1517747400|869.66922412|858.36623805|858.39623806|859.57782732|865.15986228|76899.47263104
				1517747100|871.00000000|858.10763186|860.54782732|871.00000000|862.30274527|69143.36239700
