situation elements:2
	8|Gen|5535
	31|Date|2018-02-10 02:17:18.704000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:848.83033036
			high24hr:862.00000000
			highestbid:848.83033067
			percentchange:0.03879819
			low24hr:778.66740711
			lowestask:851.93125154
			candle300|288
				1518189300|852.72145252|848.83032084|848.83033074|848.83032084|850.03358162|2881.46931049
				1518189000|853.00000003|848.83032003|848.83032078|852.08309249|849.95731998|28592.46758725
				1518188700|859.81000000|852.08309208|852.08309242|857.80000069|855.45504557|69827.73270411
				1518188400|859.80000000|850.94697031|857.80000069|851.94697018|855.97533929|65889.37248481
				1518188100|855.00000000|850.74203555|853.15990635|850.77102458|851.82718876|66456.62676881
				1518187800|857.20008200|850.77102461|850.77102461|856.00000001|855.65436136|52116.08304970
				1518187500|862.00000000|853.49815735|856.00000000|857.85831450|858.10452078|185583.49906734
				1518187200|857.86831447|849.99999999|857.86831447|849.99999999|854.13460287|267329.27965799
				1518186900|850.00000000|844.63236557|850.00000000|845.00000026|847.16575000|61834.96950048
				1518186600|845.00000022|838.42474472|845.00000022|839.97281759|840.17876789|31912.46134341
				1518186300|841.77000021|837.97281759|840.00000000|841.77000021|839.76657977|47736.09806725
				1518186000|845.99999985|839.26921410|842.28188511|843.00000000|843.31116749|30968.95883574
				1518185700|849.00000000|842.56823762|843.00000000|842.56823767|845.68719879|266192.87399173
				1518185400|842.85823763|838.24411367|842.56823762|838.24411367|840.86886438|244544.95028594
				1518185100|839.99000000|831.00000008|839.99000000|833.31919275|837.30057342|73528.92386591
				1518184800|833.31919255|830.03353007|833.31919255|832.00000015|831.25336070|15333.60242516
				1518184500|834.00000000|830.00000003|833.31919266|832.00000006|831.77073126|11170.20485689
				1518184200|834.68833002|830.81648565|834.21561002|831.52254471|833.61130860|22431.02807183
				1518183900|833.97999998|830.81648586|830.81648586|833.40058819|831.79490531|18052.29998951
				1518183600|833.60200000|831.20038359|833.40058819|832.65519020|833.03770642|16685.53725844
				1518183300|833.30120174|830.00000000|832.65519012|830.00000000|831.87731576|16460.19088683
				1518183000|830.26746140|826.82746357|829.26038362|830.26746140|829.35784755|5373.58973037
				1518182700|830.73038350|826.82746217|830.73038350|826.82746217|830.27086472|6769.82277362
				1518182400|831.50746208|827.28064710|830.26746209|831.50746208|828.53806524|20645.66406023
				1518182100|831.83788503|830.00000000|830.00000000|831.83788503|830.65228769|5050.56673598
				1518181800|832.00000000|829.99999997|832.00000000|830.00000000|831.10481890|5859.03336701
				1518181500|829.05019602|827.67831963|829.05019602|828.76895297|827.71564919|30732.62395554
				1518181200|827.00000000|824.99520378|826.95000000|824.99520378|826.13208076|8522.48934605
				1518180900|828.83058833|824.76058972|825.94058842|827.00000000|825.92120269|38818.89516279
				1518180600|827.00000000|825.64058838|827.00000000|825.90058845|826.12763396|2670.87788573
				1518180300|831.00000000|828.00000000|828.00000000|831.00000000|829.53185022|671.66273132
				1518180000|832.20000000|828.00000009|828.90058841|829.87670747|830.75807669|21969.93330188
				1518179700|829.87670747|828.00000101|828.84779209|828.00000101|828.41476934|2563.84310844
				1518179400|829.80000000|826.29999997|829.80000000|826.29999997|826.66429914|19882.86846724
				1518179100|826.29999997|823.28898520|826.29999997|824.79999997|823.56634572|27249.06011323
				1518178800|828.92637245|823.98327017|824.79999997|828.92637245|825.16233803|26162.94043140
				1518178500|832.00000000|829.42585850|829.42585850|832.00000000|830.93434772|5462.02452149
				1518178200|834.88507412|831.99999997|832.00000000|833.94000000|832.30403026|12740.24485958
				1518177900|834.10799630|830.53569611|833.94999989|833.20000008|833.00013917|41314.98916372
				1518177600|836.29198040|832.92198044|833.20000011|834.00000017|834.98937093|23419.08699785
				1518177300|834.64516058|831.00000046|834.00000017|831.00000046|832.82181345|32115.53766717
				1518177000|837.54395507|831.00000000|834.78198036|837.54395507|834.34165474|32336.27538715
				1518176700|837.95395493|834.04694217|836.03000003|834.04694218|835.98689320|19424.07520058
				1518176400|839.17916599|830.28501979|834.02580012|830.28501979|836.12994260|39104.11987996
				1518176100|832.00000000|828.90000004|832.00000000|828.90000004|831.13797497|9023.36375660
				1518175800|832.25501966|828.35747398|831.00000000|830.00000000|829.85607730|17184.39424415
				1518175500|835.00009995|828.69128315|828.87501998|834.83709770|831.27452320|27881.53610874
				1518175200|838.29259979|832.41268166|834.02565997|834.83616842|835.07289963|126257.01168706
				1518174900|835.40000000|825.30924083|834.83616842|825.30924083|830.03152373|135093.81117645
				1518174600|825.90387166|822.85032083|825.90387166|822.85032083|824.81080798|9867.64122436
				1518174300|825.11527210|821.51527237|821.60032084|825.11527209|823.50888244|1684.37109017
				1518174000|823.25526752|820.87468780|821.37418113|823.25525783|821.64399597|18597.37144534
				1518173700|827.99999985|823.25525780|823.25525780|827.99999985|824.90519251|22222.40832048
				1518173400|828.96999988|825.61016174|826.50000000|825.61016174|828.83155510|5299.80035623
				1518173100|825.61016174|824.63026407|825.27245099|825.00000000|825.48095164|4811.57393711
				1518172800|829.99999997|825.01623306|825.61016174|827.60000002|828.02108219|71609.93266195
				1518172500|829.51710106|820.49999988|829.51710106|821.70917712|824.39953432|42689.21230031
				1518172200|821.75935710|820.49999987|821.70917712|821.70917715|821.20016307|8547.77060290
				1518171900|824.45597190|821.29268523|821.29268523|824.45597190|823.12156356|1474.61777041
				1518171600|824.50000002|821.97725019|822.01090000|824.50000002|823.23914694|7042.71465722
				1518171300|824.50000002|823.51710100|824.50000002|823.77900007|823.97119259|7603.28770043
				1518171000|829.50000000|823.94957375|823.94957375|829.50000000|826.13115861|34912.21408626
				1518170700|834.36014733|828.83500000|829.50000000|833.00000000|831.68527144|31749.45320732
				1518170400|834.36014739|827.28414746|833.00000000|827.79454530|830.68186787|69332.16870709
				1518170100|829.46332297|827.60000003|827.79454530|828.00000000|828.52188252|16483.93269154
				1518169800|828.00000000|827.28414746|828.00000000|827.99999991|827.50601899|17905.25971914
				1518169500|829.46199896|827.28414746|828.00000000|828.91730208|827.68199911|97884.05442369
				1518169200|828.91730211|824.73014742|827.28414746|824.73014742|827.72556714|21370.07619137
				1518168900|825.93075353|822.67207691|823.00000000|822.67207691|824.78402185|36040.79367309
