situation elements:2
	8|Gen|1132
	31|Date|2017-11-01 10:22:12.182000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:305.00000043
			high24hr:310.59999999
			highestbid:305.00000071
			percentchange:-0.00343081
			low24hr:304.80000000
			lowestask:305.99999967
			candle300|288
				1509492000|306.00000000|305.00000043|305.00000043|305.81525926|305.81505945|28354.43272927
				1509491700|305.00000009|305.00000000|305.00000009|305.00000007|305.00000005|3357.17294872
				1509491400|305.00000007|305.00000000|305.00000000|305.00000001|305.00000000|490.03840650
				1509491100|305.58233256|305.00000000|305.00000000|305.58233256|305.00610405|112.36771360
				1509490800|305.68762562|304.80000000|305.68762562|304.80000000|304.80013691|6464.13281818
				1509490500|304.85000006|304.80000000|304.80000000|304.85000003|304.82013884|17856.51190661
				1509490200|305.68763463|304.80000000|305.68763461|304.80000000|305.09700571|3145.44140151
				1509489900|305.68764119|304.80000000|304.80000000|305.68764119|305.07496664|1936.20562647
				1509489600|305.68764271|305.68764271|305.68764271|305.68764271|305.68764271|190.37408673
				1509489300|305.68764741|305.00000000|305.00000000|305.00000003|305.27525374|8329.34802324
				1509489000|305.68764939|304.95403573|304.95403573|305.43403525|305.44075105|3811.32721810
				1509488700|305.43403713|304.80000000|305.43403588|305.23000006|305.08554047|8251.55769481
				1509488400|305.84979960|305.20000008|305.84979909|305.20000008|305.33204544|9232.03721245
				1509488100|305.89000004|305.00000000|305.89000004|305.73308585|305.63466131|25736.68483635
				1509487800|305.73308688|305.00000000|305.73308688|305.15000141|305.15950241|3261.91766064
				1509487500|305.15000213|305.00000000|305.00000000|305.15000135|305.06576960|9679.74871516
				1509487200|305.91478690|305.15000000|305.88999975|305.91478690|305.83588862|89743.29359391
				1509486900|305.99999902|305.15000000|305.15000000|305.99999902|305.92350467|1019.81927441
				1509486600|306.22450259|305.00000014|305.00000014|306.00000000|305.99962694|31047.09968322
				1509486300|305.37770114|305.00000000|305.00000000|305.37770067|305.36448004|7373.35134426
				1509486000|305.50000631|305.37770006|305.37770006|305.50000631|305.46407336|271.41628714
				1509485700|306.22451320|305.50000454|306.22451094|306.00000000|306.05876926|6314.19659398
				1509485400|306.22451571|305.50000207|306.22451418|305.50000207|305.86026699|496.70044092
				1509485100|306.22451575|305.00002013|306.00000001|305.00002013|306.21421125|11906.13488519
				1509484800|306.22451572|305.00000746|305.00000746|306.22451572|305.34586137|425.53540008
				1509484500|306.22451622|305.00000432|306.22451622|305.00000432|305.57892934|1159.20820472
				1509484200|305.99999680|305.00000140|305.99999680|305.20000003|305.31142579|1930.00024503
				1509483900|306.22450277|305.00000009|305.99999906|306.22450277|305.74882161|3617.40758331
				1509483600|306.22450743|305.23011957|305.23011957|306.22450743|305.39933417|223.22936809
				1509483300|306.22450951|305.23000076|305.23000172|305.23000076|305.24670746|2965.59064744
				1509483000|306.22451226|305.23000024|305.23000036|306.22451224|305.92963560|11861.90428741
				1509482700|306.22451567|305.00000050|305.20000003|305.00000051|305.25993673|427.40359521
				1509482400|305.27777777|305.00000000|305.00000014|305.27777777|305.04985753|9370.28616550
				1509482100|305.60001000|305.27777777|305.60000963|305.60001000|305.50508733|9614.78224676
				1509481800|306.43024506|305.48570740|305.48570740|306.43024506|305.84484553|10655.12720225
				1509481500|306.00500758|305.99999994|306.00500758|306.00500758|306.00420099|1266.92475589
				1509481200|306.90500144|306.00500677|306.00500710|306.00500677|306.17426408|8758.80541253
				1509480900|306.99999783|306.00500557|306.00500557|306.99999783|306.95149126|1436.43116636
				1509480600|307.00000000|306.00500325|306.99999839|307.00000000|306.55273394|7491.80520883
				1509480300|307.00000000|306.00000530|307.00000000|306.50000000|306.85911248|4142.54997364
				1509480000|306.79999925|306.00000051|306.79999925|306.00000051|306.45947312|15013.91486114
				1509479700|306.49998361|305.99999994|306.49998315|305.99999999|306.05186171|5461.16805195
				1509479400|306.00000000|305.69999997|306.00000000|305.70000000|305.85320874|3635.02196697
				1509479100|305.99999997|305.50000000|305.70000000|305.99999545|305.63527204|6931.93575920
				1509478800|306.00000000|305.51000337|305.99999997|305.99999633|305.85631067|6258.10081298
				1509478500|305.99999842|305.51000174|305.99999664|305.51000174|305.75619329|6725.36728476
				1509478200|306.00000005|305.50000178|305.51000111|306.00000005|305.79677776|3882.66122116
				1509477900|306.44870354|306.00000000|306.00000000|306.44870340|306.39903947|35483.39295968
				1509477600|306.44870470|305.50000244|305.50000349|305.50000244|305.98452203|10479.33499253
				1509477300|306.00000000|305.50000000|305.99999993|305.74999999|305.98286931|5153.63759984
				1509477000|306.00000000|305.50000000|305.50000000|306.00000000|305.99546976|3066.46172187
				1509476700|306.49998485|306.00000000|306.00000000|306.49998485|306.49777295|6914.57081631
				1509476400|306.49999025|306.49998834|306.49998834|306.49999025|306.49998836|1860.68969609
				1509476100|306.69999319|305.50000000|306.60999140|306.25000000|306.13063531|15467.63899419
				1509475800|306.69999567|306.01000003|306.69999567|306.10000288|306.53487243|757.45637231
				1509475500|306.10000291|306.01000003|306.10000291|306.10000288|306.09551871|421.61164541
				1509475200|306.10000288|306.10000158|306.10000288|306.10000158|306.10000282|16.39109804
				1509474900|306.79999922|306.01000027|306.79999922|306.01000027|306.31393722|2902.68809165
				1509474600|306.69999539|306.01000001|306.69999514|306.01000002|306.49002649|979.20423473
				1509474300|306.30000000|306.01000000|306.01000001|306.02000038|306.11459623|2697.04049350
				1509474000|306.70000000|306.02000001|306.02000035|306.15256478|306.14528845|2558.01485189
